title,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9
B751025206PH04PHOT68_bureauJMT_01_7_5_020,1.1. Photographie,2.1.2 Monument mineur et pierres tombales,2.1.2.3 Monument à colonne ou à stèle quadrilatérale,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_021,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_022,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_023,1.1. Photographie,2.1.2 Monument mineur et pierres tombales,2.1.2.3 Monument à colonne ou à stèle quadrilatérale,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_024,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_025,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_026,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_027,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_028,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_029,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_030,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_031,"1.3 Autre document reproduit (gravure, dessin, etc)",2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.1 Décor figuratif,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_032,1.1. Photographie,2.1.4 Elément architectural isolé,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_033,1.1. Photographie,2.1.4 Elément architectural isolé,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,3.3. Décor animalier,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_034,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_035,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_036,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_037,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_038,"1.3 Autre document reproduit (gravure, dessin, etc)",2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_039,1.1. Photographie,2.1.2 Monument mineur et pierres tombales,"2.1.2.5 Monolithe préchrétien (vishapakar, menhir, etc)",,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_040,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_041,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_042,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_043,1.1. Photographie,2.1.2.4 Statue,2.2.5 Objet archéologique,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_044,1.1. Photographie,2.1.2.4 Statue,2.2.5 Objet archéologique,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_045,1.1. Photographie,2.2.5 Objet archéologique,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_046,1.1. Photographie,2.1.2.4 Statue,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_047,1.1. Photographie,2.1.2 Monument mineur et pierres tombales,2.1.2.3 Monument à colonne ou à stèle quadrilatérale,,,,,,
B751025206PH04PHOT68_bureauJMT_01_7_5_048,1.1. Photographie,2.1.2 Monument mineur et pierres tombales,2.1.2.3 Monument à colonne ou à stèle quadrilatérale,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_001,1.4. Matériel de conditionnement,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_002,1.4. Matériel de conditionnement,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_003,1.2 Reproduction de plan architectural,2.1.1 Edifice,2.1.1.1 Eglise,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_004,1.2 Reproduction de plan architectural,2.1.1 Edifice,2.1.1.1 Eglise,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_005,1.2 Reproduction de plan architectural,2.1.1 Edifice,2.1.1.1 Eglise,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_006,1.2 Reproduction de plan architectural,2.1.1 Edifice,2.1.1.1 Eglise,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_007,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_008,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.4 Paysage,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_009,1.1. Photographie,2.1. Architecture,2.4 Paysage,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_010,1.1. Photographie,2.1. Architecture,2.1.2 Monument mineur et pierres tombales,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_011,1.1. Photographie,2.1. Architecture,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_012,1.1. Photographie,2.1. Architecture,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_013,1.1. Photographie,2.1. Architecture,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_014,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_015,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_016,1.1. Photographie,2.1.5 Décor sculpté,3.1 Décor figuratif,3.2 Décor ornemental et à croix,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_017,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.4 Paysage,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_018,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.4.2 Chapiteau,2.1.4bis Elément architectural inséré,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_019,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.4.2 Chapiteau,2.1.4.3 Colonne / pilier,2.1.4bis Elément architectural inséré,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_020,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_021,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.4 Paysage,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_022,1.1. Photographie,2.1. Architecture,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_023,1.1. Photographie,2.1. Architecture,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_024,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.4 Paysage,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_025,"1.3 Autre document reproduit (gravure, dessin, etc)",2.1.1.1 Eglise,2.4 Paysage,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_026,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_027,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_028,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_029,1.1. Photographie,2.1. Architecture,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_030,1.1. Photographie,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_031,1.1. Photographie,2.2. Objet,2.2.4 Autre objet liturgique,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_032,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_033,1.2 Reproduction de plan architectural,2.1.1 Edifice,2.1.1.1 Eglise,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_034,1.2 Reproduction de plan architectural,2.1.1 Edifice,2.1.1.1 Eglise,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_035,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.3. Décor animalier,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_036,1.1. Photographie,2.1.1.1 Eglise,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_037,1.1. Photographie,2.1.1.1 Eglise,2.1.4.5. Tympan,2.1.5 Décor sculpté,3.1 Décor figuratif,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_038,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_039,1.1. Photographie,2.1. Architecture,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_040,1.1. Photographie,2.1. Architecture,2.1.4.3 Colonne / pilier,2.1.4bis Elément architectural inséré,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_041,1.1. Photographie,2.4 Paysage,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_042,1.1. Photographie,2.1. Architecture,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.1 Décor figuratif,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_043,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_044,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_045,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_046,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_047,1.1. Photographie,2.1.1 Edifice,2.1.1.1 Eglise,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_048,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_049,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.1 Décor figuratif,3.2 Décor ornemental et à croix,,
B751025206PH04PHOT68_bureauJMT_01_8_1_050,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_051,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.4.6 Portail,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_052,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.1 Décor figuratif,3.2 Décor ornemental et à croix,3.3. Décor animalier,
B751025206PH04PHOT68_bureauJMT_01_8_1_053,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.3. Décor animalier,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_054,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_055,1.1. Photographie,2.1. Architecture,2.1.5 Décor sculpté,3.3. Décor animalier,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_056,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_057,"1.3 Autre document reproduit (gravure, dessin, etc)",2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_058,1.2 Reproduction de plan architectural,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_059,"1.3 Autre document reproduit (gravure, dessin, etc)",2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.4 Paysage,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_060,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,2.5 Animal,4. Inscription,4.1 Arménien,
B751025206PH04PHOT68_bureauJMT_01_8_1_061,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_062,1.1. Photographie,2.1. Architecture,2.1.5 Décor sculpté,3.1 Décor figuratif,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_063,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.3. Décor animalier,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_064,1.1. Photographie,2.1. Architecture,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_065,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,3.3. Décor animalier,,
B751025206PH04PHOT68_bureauJMT_01_8_1_066,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,
B751025206PH04PHOT68_bureauJMT_01_8_1_067,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_068,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_069,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.1 Décor figuratif,3.2 Décor ornemental et à croix,,
B751025206PH04PHOT68_bureauJMT_01_8_1_070,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_071,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.4.6 Portail,2.1.5 Décor sculpté,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_072,1.1. Photographie,2.1. Architecture,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,3.3. Décor animalier,4. Inscription,4.1 Arménien,
B751025206PH04PHOT68_bureauJMT_01_8_1_073,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_074,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_075,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_076,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_077,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.4.5. Tympan,2.1.5 Décor sculpté,3.1 Décor figuratif,3.2 Décor ornemental et à croix,
B751025206PH04PHOT68_bureauJMT_01_8_1_078,1.1. Photographie,2.1. Architecture,2.1.5 Décor sculpté,3.1 Décor figuratif,3.2 Décor ornemental et à croix,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_079,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,3.3. Décor animalier,,
B751025206PH04PHOT68_bureauJMT_01_8_1_080,1.1. Photographie,2.1. Architecture,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.3. Décor animalier,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_081,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.4 Paysage,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_082,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_083,1.1. Photographie,2.1. Architecture,2.1.5 Décor sculpté,3.3. Décor animalier,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_084,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_085,1.1. Photographie,2.1. Architecture,2.1.1.1 Eglise,2.1.4.5. Tympan,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_086,1.1. Photographie,2.1. Architecture,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.3. Décor animalier,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_087,1.1. Photographie,2.1. Architecture,2.1.1.1 Eglise,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.1 Décor figuratif,3.2 Décor ornemental et à croix,,
B751025206PH04PHOT68_bureauJMT_01_8_1_088,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_089,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,,,,
B751025206PH04PHOT68_bureauJMT_01_8_1_090,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_001,1.4. Matériel de conditionnement,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_002,1.4. Matériel de conditionnement,,,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_003,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_004,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_005,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_006,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.2.2 Khatchkar,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_007,1.1. Photographie,2.1. Architecture,2.1.2 Monument mineur et pierres tombales,2.1.2.1 Pierre tombale,2.1.5 Décor sculpté,3.1 Décor figuratif,3.3. Décor animalier,,
B751025206PH04PHOT68_bureauJMT_01_8_2_008,1.1. Photographie,2.3 Personne,2.3.2 Scène de vie,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_009,1.1. Photographie,2.3 Personne,2.3.2 Scène de vie,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_010,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_011,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_012,1.1. Photographie,2.1. Architecture,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.1 Décor figuratif,3.2 Décor ornemental et à croix,4. Inscription,4.1 Arménien,
B751025206PH04PHOT68_bureauJMT_01_8_2_013,1.1. Photographie,2.1. Architecture,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.1 Décor figuratif,4. Inscription,4.1 Arménien,,
B751025206PH04PHOT68_bureauJMT_01_8_2_014,1.1. Photographie,2.1. Architecture,2.1.2.2 Khatchkar,2.1.5 Décor sculpté,3.2 Décor ornemental et à croix,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_015,1.1. Photographie,2.1. Architecture,2.1.2.1 Pierre tombale,2.1.5 Décor sculpté,3.1 Décor figuratif,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_016,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_017,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_018,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_019,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_020,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,2.1.5 Décor sculpté,3.1 Décor figuratif,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_021,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.4.7 Niche,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_022,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_023,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_024,1.1. Photographie,2.1. Architecture,2.1.2.1 Pierre tombale,2.1.5 Décor sculpté,3.1 Décor figuratif,3.3. Décor animalier,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_025,1.1. Photographie,2.3 Personne,2.3.2 Scène de vie,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_026,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.4.7 Niche,2.1.5 Décor sculpté,3.1 Décor figuratif,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_027,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_028,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_029,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.4.6 Portail,,,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_030,1.1. Photographie,2.1. Architecture,2.1.2.1 Pierre tombale,2.1.5 Décor sculpté,3.1 Décor figuratif,3.3. Décor animalier,,,
B751025206PH04PHOT68_bureauJMT_01_8_2_031,1.1. Photographie,2.1. Architecture,2.1.1 Edifice,2.1.1.1 Eglise,,,,,
